Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Agricultural land (sq. km),AG.LND.AGRI.K2,Burundi,BDI,20820,18670,18870,19140,19410,19680,19950,20220,20490,20760,21030,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cabo Verde,CPV,680,720,790,790,790,790,790,790,790,790,790,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cambodia,KHM,44550,47700,55721.242,56018.761,56476.28,57003.8,57841.319,58558.838,59506.358,60453.877,60991.397,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cameroon,CMR,91700,91600,97500,97500,97500,97500,97500,97500,97500,97500,97500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Canada,CAN,614030,612870,578420,579130,579850,580500,578676,578892,576878,571174,569910,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cayman Islands,CYM,27,27,27,27,27,27,27,27,27,27,27,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Central African Republic,CAF,49560,49520,48860,49070,49070,49070,49070,49090,49090,49090,49100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chad,TCD,483000,486300,500360,502360,502370,503380,503380,503380,503380,503380,503380,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Channel Islands,CHI,85,79,94.6,95.2,92.6,92.9,92.2,85.7,85.7,85.7,85.7,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chile,CHL,158990,151100,135318.45,131653.19,127977.92,124312.67,120647.41,116982.15,113306.88,109641.63,105955.37,..
Agricultural land (sq. km),AG.LND.AGRI.K2,China,CHN,5056940,5228730,5252084,5244561,5237038,5229515,5221992,5214469,5206950,5206950,5206950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Colombia,COL,450830,448590,448156,448000,447844,447688,434870,440480,443540,440522.78,427180,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Comoros,COM,1140,1280,1330,1330,1330,1330,1330,1330,1330,1330,1330,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Dem. Rep.",COD,259600,256000,314300,322490,324500,326720,333210,335940,338300,338950,338980,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Rep.",COG,105210,105400,106270,106270,106270,106270,106280,106310,106330,106390,106780,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Costa Rica,CRI,21986,18400,18010,17850,17915,17770,17810,17825,17760,17860,18110,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cote d'Ivoire,CIV,189300,196000,212000,213500,222000,219000,220000,231500,232300,233000,235000,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Croatia,HRV,24040,11690,15673,15085,15372,15460,14970,14840,15040,15050,14760,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cuba,CUB,67410,65540,63423,62788.8,62403,62267,63000,63000,64010,64010,64010,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cyprus,CYP,1606,1415,1088.3,1089.8,1266.8,1093.9,1214.2,1324.469,1253.284,1276.493,1231.349,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Czechia,CZE,42820,42800,35210,35160,34940,34880,35210,35230,35236.59,35238.71,35297.97,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Denmark,DNK,27880,26470,26280,26526.31,26338.99,26251,26313,26325,26259.65,26199.87,26180,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Djibouti,DJI,12990,16016,17028,17028,17028,17028,17028,17028,17029,17039,17039,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominica,DMA,180,210,250,250,250,250,250,250,250,250,250,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominican Republic,DOM,25460,25150,23520,23520,24290,24290,24290,24290,24290,24290,24290,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ecuador,ECU,78460,80660,75130,54750,57890,55160,55900,54480,53300,54200,54700,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Egypt, Arab Rep.",EGY,26480,32910,37309.7,37151.9,37898.771,37337.654,38369.688,38630,39220,39710,40310,..
Agricultural land (sq. km),AG.LND.AGRI.K2,El Salvador,SLV,12708,12867,12184,12142,12230,12141,12052,11957,11957,11957,11957,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Equatorial Guinea,GNQ,1038.5,1028.5,1040.2,1041.5,1042.8,1044.1,1045.4,1046.7,1048,1049.2,1049.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eritrea,ERI,..,75300,75920,75920,75920,75920,75920,75920,75920,75920,75920,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Estonia,EST,13740,9860,9650,9740,9930,10030,9820,9850,9884,9850,9870,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eswatini,SWZ,12380,12230,12187.465,12160,12120,12080,12040,12010,11970,11950,11950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ethiopia,ETH,563120,305340,366990,369100,371210,373320,375401,379030,381900,384761,385950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Faroe Islands,FRO,965.32,964.93,964.03,964.18,964.18,963.5,963.5,963.35,963.35,960.7,960.7,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Fiji,FJI,4100,3718,3170,3163,3156,3149,3142,3135,3128,3116,3116,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Finland,FIN,23930,22180,22585,22671,22734,22750,22700,22720,22740,22700,22680,..
Agricultural land (sq. km),AG.LND.AGRI.K2,France,FRA,305928,298074,287737,287665,287269,287180.21,286974.99,286601,286211.86,285537.54,285537.54,..
Agricultural land (sq. km),AG.LND.AGRI.K2,French Polynesia,PYF,430,430,455,455,455,455,465,475,475,485,485,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gabon,GAB,20053.8,20670,21532.36,21532.36,21532.36,21532.36,21532.36,21532.36,21532.36,21532.36,21532.36,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Gambia, The",GMB,5820,5060,6440,6440,6440,6440,6340,6340,6340,6340,6340,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Georgia,GEO,32290,30000,24861,24160,24181,23940,23848,23742,23726,23779,23799,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Germany,DEU,180320,170680,166970,167250,167310,166590,166870,166450,166660,165950,165910,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ghana,GHA,126280,127655.201,124630.761,123746.548,124155.145,123579.422,120839.639,122175.416,124799.743,126037.4,126037.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greece,GRC,92220,85290,71530,62010,61990,61360,60535.408,59436.904,58671.88,58671.88,58671.88,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greenland,GRL,2368,2398,2430.7,2430.8,2431,2431.1,2431.1,2431.1,2431.1,2431.1,2431.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Grenada,GRD,130,120,80,80,80,80,80,80,80,80,80,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guam,GUM,200,200,180,180,170,170,170,160,160,160,160,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guatemala,GTM,42850,47617.2,42230,42849,44640,44938,45236,45534,45832,46120,46120,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea,GIN,141410,140790,145000,145330,145450,145650,145950,146220,146300,146350,146380,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea-Bissau,GNB,5786.7,6631.2,7729.02,7813.46,7897.9,7982.3,8066.7,8151.1,8151.1,8151.1,8151.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guyana,GUY,10080,10306.667,10420,10420,10420,10420,10420,10420,10420,10420,10430,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Haiti,HTI,15970,16900,20680,20680,20680,20680,20100,19950,17900,17900,17950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Honduras,HND,33200,29350,33700,33750,33750,34240,34880,35090,35090,35380,35760,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Hong Kong SAR, China",HKG,80,70,51,51,51,50,51,50,50,40,40,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Hungary,HUN,64740,58540,52570,52640,52640,52820,53030,52960,52780,49166.726,50436.886,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iceland,ISL,19010,18890,18722,18722,18720,18720,18720,18720,18720,18720,18720,..
Agricultural land (sq. km),AG.LND.AGRI.K2,India,IND,1814130,1809750,1796980,1797280,1796750,1795780,1792356.04,1791155.64,1790449.469,1785277.59,1785279.48,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Indonesia,IDN,450830,471770,569700,573000,578000,597000,633000,639000,641000,643000,646000,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Iran, Islamic Rep.",IRN,615000,628840,459540,459540,459540,459540,464350,469150,469883.333,470276.667,470670,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iraq,IRQ,92300,85000,88637.5,92690,92690,93090,93290,93490,93690,94390,94240,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ireland,IRL,45374,43961.6,44770,44660,44300,44610,44890,45160,45240,45120,43370,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Isle of Man,IMN,396,438,388,389,404,407,402,403,403,398,392,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Israel,ISR,5790,5660,5203,5377,5339,5520,6440,6413,6384,6464,6435,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Italy,ITA,168400,156370,136300,131620,129450,128120,128265.7,124050,131209.62,125183.7,124030.309,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jamaica,JAM,4760,4790,4188,4179,4170,4170,4170,4170,4170,4170,4170,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Japan,JPN,58320,52580,48920,48700,48460,48130,47780,47460,47150,46820,46590,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jordan,JOR,10402,10690,10566,10640,10563,10659.6,10070,10218,10365,10290,10230,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kazakhstan,KAZ,2214630,2153933,2169941,2167994,2162597,2162421,2162137,2160361,2139743,2140032,2137959,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kenya,KEN,267700,266710,276430,276540,276660,276770,276880,276990,277100,277100,277100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kiribati,KIR,390,340,340,340,340,340,340,340,340,340,340,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Dem. People's Rep.",PRK,25180,25500,26300,26300,26300,26200,26000,26000,25950,25950,25950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Rep.",KOR,21790,19730,17687,17483,17360,17008,16767,16520,16370,16210,16030,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kuwait,KWT,1410,1480,1536,1521,1494,1500,1514,1500,1500,1500,1500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kyrgyz Republic,KGZ,100880,107140,105567,105571,105562,105411,105401,103708,103684,103678,103661,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lao PDR,LAO,16600,18060,23350,23350,23350,23350,22589,21828,21067,20310,20310,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Latvia,LVA,25300,15880,18770,18720,18845,19310,19330,19380,19600,19690,19700,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lebanon,LBN,6050,5950,6600,6620,6650,6710,6733.2,6715.5,6713,6773,6793,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lesotho,LSO,23210,23340,22521,22763,22230,23560,24180,24333,24330,24330,24330,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liberia,LBR,10637.6,13671.162,17565.513,17863.733,18164.532,18464.827,18766.883,19069.038,19230.4,19230.4,19230.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Libya,LBY,154550,154500,153550,153500,153500,153500,153500,153500,153500,153500,153500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liechtenstein,LIE,70,70,53.4,52.4,52.2,52,51.8,51.8,51.7,51.7,51.7,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lithuania,LTU,33890,34180,28914,29524,30059,29539,29353,29470,29750,29428,29378,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Luxembourg,LUX,..,1280,1308.8,1309.9,1312.7,1306.51,1311.58,1315.59,1315.92,1321.36,1328.11,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Madagascar,MDG,363250,405000,408950,408950,408950,408950,408950,408950,408950,408950,408950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malawi,MWI,42180,47300,55450,56510,57060,57620,58170,58730,59280,59840,60500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malaysia,MYS,67566,69387,80593,80890,85699.7,85710,85710,85710,85710,85710,85710,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Maldives,MDV,80,90,64,64,64,64,64,64,64,64,59,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mali,MLI,321280,386650,416180,418070,419960,421860,423750,425640,427530,429420,431310,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malta,MLT,130,90,102.3,102.3,102.3,103.8,103.8,103.8,103.8,91.1,87.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Marshall Islands,MHL,120,85,70,70,70,70,70,70,70,70,70,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritania,MRT,396560,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritius,MUS,1110,1010,860,860,860,860,860,860,860,860,860,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mexico,MEX,1051510,1063300,994860,987480,986800,983380,969460,965160,961060,971380,971260,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Micronesia, Fed. Sts.",FSM,225,55,50,50,50,50,50,50,50,50,50,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Moldova,MDA,25600,25440,24610,23150,23180,23179,23173,22571,22616,22646,22750,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mongolia,MNG,1256560,1304700,1140302.8,1136820,1136644.1,1135607.9,1134671.9,1134330,1133735,1126995.469,1126312,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Montenegro,MNE,5150,5150,2231.3,2303.2,2314,2557,2563,2568,2570,2579.5,2555.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Morocco,MAR,303430,306520,305850,300825,300470,308750,310465.482,305258.072,296119.07,303580,302910,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mozambique,MOZ,352600,374500,402851.44,404915.72,406980,410097.1,412314,414138.32,414138.32,414138.32,414138.32,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Myanmar,MMR,104280,108120,125870,126320,127489.999,127600,130536,130713,129794,129800,129800,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Namibia,NAM,386620,388200,388090,388090,388100,388100,388110,388110,388110,388110,388120,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nauru,NRU,4,4,4,4,4,4,4,4,4,4,4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nepal,NPL,41444,42491,41210,41210,41210,41210,41210,41210,41210,41210,41210,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Netherlands,NLD,20180,19596,18476,18391,18460,18150,18190,18230,18168,18144.5,18120,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Caledonia,NCL,2320,2450,1837.3,1837.3,1840.3,1840.3,1840.3,1840.3,1840.3,1840.3,1840.3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Zealand,NZL,139170,123397.124,111060,111160,107120,106140,106440,104980,103450,101540,101750,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nicaragua,NIC,40250,51410,50730,50730,50730,50730,50810,50840,50840,50910,50910,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Niger,NER,330470,370000,456820,456820,456950,463950,465950,465950,465950,465950,465950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nigeria,NGA,587140,655080,674420,675930,677370,678910,680390,681920,683420,684930,686440,..
Agricultural land (sq. km),AG.LND.AGRI.K2,North Macedonia,MKD,13070,12350,12600,12610,12620,12650,12660,12640,12650,12620,12600,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Northern Mariana Islands,MNP,40,30,17,17,17,17,17,5.4,5.4,5.4,5.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Norway,NOR,9760,10420,9871.428,9867.6,9860.3,9836.61,9851.12,9862.8,9842.54,9859.62,9850,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Oman,OMN,10800,11730,14195,14198,14340,14360,14519.2,14598.9,14614,14589.3,14662.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Pakistan,PAK,352060,366980,362800,362520,362020,367940,370030,369530,363230,367230,363030,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Palau,PLW,43,43,43,43,43,43,43,43,43,43,43,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Panama,PAN,21240,22300,22430,22330,22230,22130,22030,21930,21830,21741,21813.16,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Papua New Guinea,PNG,9280,10880,12860,13050,13220,13280,14050,14050,14040,14180,14410,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Paraguay,PRY,141395.7,150951.4,165541.4,167331.4,169381.4,167341.4,167231.4,168071.4,168091.4,168091.4,168091.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Peru,PER,224370.091,232313,249673.7,248315.8,246958.04,244430,245181.08,246985.89,244782.9,249969.9,255156.89,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Philippines,PHL,111400,112340,124690,124980,125270,125560,125900,126130,126360,126590,126830,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Poland,POL,187930,184130,144100,144240,143710,143740,144620,145120,145230,147330,144994.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Portugal,PRT,39630,39563.8,37011,36638.8,36387.8,36190.3,36733.928,37367.665,39505.205,39542.556,39622.955,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Puerto Rico,PRI,4350,2472,1922,1876,1830,1784,1738,1689,1689,1689,1689,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Qatar,QAT,610,660,702,710,710,710,720,740,740,740,740,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Romania,ROU,147690,148570,139050,138300,138580,135210,133780,134140,138260,130490,130790,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Russian Federation,RUS,2216310,2171620,2154940,2154940,2154940,2154940,2154940,2154940,2154940,2154940,2154940,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Rwanda,RWA,18780,18260,19800,20060,20070,20050,20050,19490,19040,19586,20044.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Samoa,WSM,540,480,610,675,756.2,688.1,620,551.7,494.1,494.1,494.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,San Marino,SMR,10,10,10,10,23,23,23,23,23,23,23,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sao Tome and Principe,STP,290,360,350,370,370,400,410,420,420,420,420,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Saudi Arabia,SAU,1234810,1737850,1732950,1735753,1736370,1736270,1735961,1735955,1736164.35,1736373.7,1736370,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Senegal,SEN,88690,90270,89680,89720,93280,92880,93230,93580,93950,94300,95110,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Serbia,SRB,35370,35370,34912,35064,34810,34560,34190,34640,34600,34820,34850,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Seychelles,SYC,40,40,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sierra Leone,SLE,28250,28100,39486.5,39490,39490,39490,39490,39490,39490,39490,39490,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Singapore,SGP,20,12,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovak Republic,SVK,24460,24400,18934,18894,18886,18860,18790,18890,18850,18830,18560,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovenia,SVN,5640,5180,6102.1,6148.4,6164.9,6174.8,6150.4,6120,6122.8,6104.9,6109.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Solomon Islands,SLB,680,760,1130,1145,1160,1170,1200,1200,1200,1200,1200,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Somalia,SOM,440420,440670,441260,441260,441260,441260,441260,441260,441270,441280,441290,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Africa,ZAF,956000,981250,963410,963410,963410,963410,963410,963410,963410,963410,963410,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Sudan,SSD,..,..,284626.25,284273.375,283920.5,283567.625,283214.75,282509,282509,282507,282527,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Spain,ESP,304720,297660,267332,265780,265765,262657,262955.3,261833.239,262066.906,261426.381,262284.464,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sri Lanka,LKA,23390,23500,27400,27400,27400,27500,27602,28116,28115.728,28120,28120,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Kitts and Nevis,KNA,120,95,60,60,60,60,60,60,60,60,60,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Lucia,LCA,209,142,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Vincent and the Grenadines,VCT,105.8,70,70,70,70,70,70,70,70,70,70,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sudan,SDN,1229100,1315750,1114533.6,1114449.6,1117498.8,1120548,1123597.2,1126646.4,1126646.4,1126648.4,1126648.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Suriname,SUR,880,880,832,882,870,870,840,840,840,800,780,..
